Jogador,1,2,3,4
Fernando Prass,-6.6,11.8,-1.7,-6.2
Alyson,0,3.1,0,0
Bruno Pacheco,3,0,0.001,3.1
Eduardo,0,0.7,0,0
Samuel Xavier,-0.2,0.3,0.9,-3.4
Eduardo Brock,0,0,0,0
Gabriel Lacerda,0,-0.6,-0.7,0
Klaus,-0.3,0,0,0
Luiz Otávio,1.2,-1.4,-3.1,1.2
Tiago,0,0,0,2
Charles,2.2,1.9,2.3,1.3
Fabinho,-0.6,1.2,-1.2,5
Felipe Baxola,0,0,0,0
Fernando Sobral,6.8,4.4,5.1,6.3
Lima,1.7,0,2.8,-1.3
Marthã,0,0,0,0
Ricardinho,-0.3,0,0,-0.9
Vinicius,0,0,0,0.4
Wescley,0,0,-0.1,0
William Oliveira,0,1.2,-0.4,0
Bergson,0.001,-0.5,0,0
Cléber,9,9.1,-0.2,-0.2
Leandro Carvalho,0,6.6,0,0.8
Mateus Gonçalves,3.4,6.7,1.4,4.2
Rafael Sóbis,3.4,-0.3,2.5,2.6
Rick,-1.1,0,0.3,0
Rogério,0,0,0,0
Victor Jacaré,8.2,-0.5,1.4,1.3