Jogador,1,2,3,4,5,6,7,8,9,10,11
Bruno Henrique,0,-0.1,0.7,-1.3,2.5,-0.5,-1.8,3,-0.1,-0.2,1.6
Danilo,0,0,0,0,0,0,0,-2.1,0.0,2.7,6.8
Emerson Santos,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Esteves,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Felipe Melo,0,0,0,0,0,0,0,0,0.0,0.0,-0.8
Gabriel Menino,0,-2.9,11.2,3.9,2.5,-0.6,2,8.4,5.2,2.0,-3.1
Gabriel Silva,0,0,0,0,-3,0,0,0,0.0,0.5,0.0
Gabriel Veron,0,0,0,0,0,0,0,12.5,8.5,1.1,1.8
Gustavo Gómez,0,0,8.8,3.5,2.2,0.8,8.5,-0.7,5.1,0.0,0.8
Gustavo Scarpa,0,-1.1,0,1.1,-1.3,6.1,0,0,0.0,0.0,0.0
Iván Angulo,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jailson,0,-3.1,0,0,0,0,0,0,0.0,0.0,0.0
Luan,0,-0.6,4.3,4.5,3.3,0.5,-2.6,0,4.8,3.1,0.0
Luan Silva,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lucas Lima,0,0.2,-0.2,1.5,-1.9,0.8,1.2,2,4.9,1.7,0.0
Luiz Adriano,0,8.2,2.8,1.6,7,0.001,9.7,2,7.2,0.0,-0.6
Marcos Rocha,0,0.5,3.7,5.6,-0.4,0,0,0,0.0,0.3,5.4
Mayke,0,0,0,0,0.1,3.5,0.7,1,7.5,-0.7,0.0
Patrick de Paula,0,-0.6,-0.7,2.5,13.1,0.9,5.2,5.3,5.0,0.0,0.0
Ramires,0,1.9,6.6,-0.1,-6.1,0.3,2.6,0,0.9,-1.5,2.4
Raphael Veiga,0,2.1,0,8.1,0,0,0,0.8,0.0,0.0,9.7
Renan,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rony,0,4.2,0.4,0.8,0.001,1.7,0.5,0,-0.5,0.0,1.9
Vinicius Silvestre,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Vitor Hugo,0,0.7,0,0,0,0,0,-0.1,0.0,1.4,-0.1
Viña,0,2.8,5.4,0,0,0,3.8,4.5,7.9,0.2,5.4
Wesley,0,0,1.3,0,0,-2.1,-0.1,2.2,1.7,6.7,2.7
Weverton,0,0,-2.5,4.1,1.3,-3,-2.4,1.1,4.7,-4.0,-3.2
Willian,0,0.001,-1.4,0.4,4.3,0.8,-0.1,7.9,6.7,14.0,1.0
Zé Rafael,0,8.8,1.4,1.8,0,8.2,-1.1,6.9,1.9,5.4,0.0